severity,method,precision,recall,f1
easy,ensemble,0.19916666666611343,0.8951310861311469,0.3258350345124265
moderate,classical,0.11312389156306926,0.43265503875759376,0.1793532805053767
moderate,cnn,0.9424460431606246,0.8885658914685632,0.9147132119573735
moderate,ensemble,0.19248560370037524,0.9878875968944386,0.3221932500154192
hard,classical,0.43317485472680095,0.5015290519862339,0.4648526027351725
hard,cnn,0.9857295754513531,0.8449541284377831,0.9099291898232107
hard,ensemble,0.4292337060261396,0.962691131495527,0.5937382077287626
easy,classical,0.04005006257815117,0.1356753482729517,0.06184428140591437
easy,cnn,0.9348242811441865,0.8861296184077158,0.9098258656446837
easy,ensemble,0.17893557422949138,0.9672925499638566,0.302004535942573
moderate,classical,0.1428083361802919,0.45287107258840115,0.21714285349733423
moderate,cnn,0.9127950310536328,0.7960996749711894,0.85046295798431
moderate,ensemble,0.24584019535450857,0.938028169012052,0.38957883040222635
hard,classical,0.30343213728312457,0.24651457541035163,0.27202796707962745
hard,cnn,0.9451851851711824,0.40430925221543534,0.5663559656161918
hard,ensemble,0.2082441113486648,0.7395437262310549,0.32497911102307664
easy,classical,0.01391830559755837,0.08273381294889628,0.023828021362623363
easy,cnn,0.7624084621581578,0.842625899272998,0.8005125964580211
easy,ensemble,0.10767780454581787,0.9244604316463628,0.1928886368398846
moderate,classical,0.08836732076428323,0.3107803337829915,0.13760734626260074
moderate,cnn,0.7895224849291168,0.7681551646334319,0.7786922675168134
moderate,ensemble,0.20510342161201903,0.9571493008526967,0.3378173973953634
hard,classical,0.4810338415763471,0.5969081679734691,0.5327429934097819
hard,cnn,0.963231956421602,0.7344254730033059,0.8334096959472324
hard,ensemble,0.5267707565499384,0.9068989386237806,0.6664405871020318
easy,classical,0.04905206139016235,0.14039621016244277,0.07270293996223982
easy,cnn,0.8543209876472896,0.894056847537519,0.8737373687326019
easy,ensemble,0.16443397615167904,0.9621016365119545,0.2808649711043091
moderate,classical,0.05445832123140509,0.23320895522243032,0.08829761878107463
moderate,cnn,0.9597791798031564,0.7568407960151938,0.846314320516011
moderate,ensemble,0.16964583102012917,0.950248756212996,0.2878944863594875
hard,classical,0.213791026798835,0.38018741633097675,0.27368217713995796
hard,cnn,0.9020902090184211,0.8781793842011294,0.8899742183060438
hard,ensemble,0.3634688235892664,0.9504685408274419,0.5258480185123258
easy,classical,0.17432646592617895,0.32868525896086964,0.22782188017758967
easy,cnn,0.8843537414880044,0.9063745019830042,0.8952287210126083
easy,ensemble,0.18648852088786885,0.987051792818854,0.31370686658826524
moderate,classical,0.2111386610715027,0.4101519081125967,0.27877108591776945
moderate,cnn,0.873286402368013,0.873286402368013,0.8732863973680131
moderate,ensemble,0.296666666666337,0.9892552797295693,0.45644926561793703
hard,classical,0.5858909757188003,0.42030890568379786,0.48947569356445214
hard,cnn,0.9711099847898069,0.6296418008523509,0.763955338127187
hard,ensemble,0.4177570093451437,0.8813670719655559,0.5668392643664066
easy,classical,0.036111798169586665,0.13321167883090138,0.056820389716630934
easy,cnn,0.8522504892284516,0.7947080291898294,0.8224740271040973
easy,ensemble,0.14455358451818714,0.8996350364881421,0.2490842466981864
moderate,classical,0.26390055434190507,0.3862798131291215,0.31357284946793185
moderate,cnn,0.8881644934782142,0.8709122203076692,0.8794537504297064
moderate,ensemble,0.40395917104814516,0.96336365871413,0.5692285299055314
hard,classical,0.30417956656111317,0.2793176972261598,0.29121896499580424
hard,cnn,0.999999999965035,0.20326936744702723,0.3378617810038556
hard,ensemble,0.1883667977640481,0.6467661691496321,0.2917601760502129
easy,classical,0.01771823681932213,0.07543698252000519,0.028696409867786977
easy,cnn,0.7314746881824544,0.9172033118590874,0.8138775460772181
easy,ensemble,0.14011976047885547,0.9687212511410422,0.2448267822602069
moderate,classical,0.24606351748032285,0.4379007361661413,0.31507902145004296
moderate,cnn,0.9162091191193216,0.9114224649705263,0.9138095188073825
moderate,ensemble,0.37756222547549634,0.9798147708359539,0.5450822339121063
hard,classical,0.2999107816894517,0.5442769958892212,0.38672565913543355
hard,cnn,0.9797648345625106,0.8925146344490067,0.9341067537921474
hard,ensemble,0.4211570425176016,0.9783285589725018,0.5888305804997261
easy,classical,0.03718163227358769,0.10934937124051751,0.05549389188414468
easy,cnn,0.7513460597124262,0.8392564242709718,0.7928718958376241
easy,ensemble,0.19199549041691993,0.9311098961130065,0.31834750627787683
moderate,classical,0.2623422929233923,0.41344283552968786,0.3210000791490856
